Question,Answer,,Question,Answer,,Question,Answer
A book about fashion and gay culture “Don We Now Our Gay Apparel” takes its title from what Christmas carol?,DECK THE HALLS,,"On the classic TV series “The Brady Bunch,”what is the name of the Brady family dog?",TIGER,,"In the classic folk song “On Top of Old Smoky,” what is “Old Smoky”?",Mountain
"A Boston native,what late night host’s sister made her film debut as one of the Eklund sisters in “The Fighter”?",CONAN O’ BRIEN,,On the classic TV series “Welcome Back Kotter” what subject did Mr. Kotter teach?,SOCIAL STUDIES,,"In the classic Mark Twain novel,Tom Sawyer lives in a small town located near what river?",MISSISSIPPI
"A breakthrough in fashion,”jeggings” are leggings designed to look like what?",JEANS,,"On the E! reality TV series, “The Girls Next Door,” who are the girls next door?",PLAYBOY MODELS,,"In the classic Rocky and Bullwinkle cartoons,Rocky is what type of animal?",FLYING SQUIRREL
A bushel is a standard unit originally used to measure the weight of what?,GRAIN,,"On the Fahrenheit scale, 98.6 degrees is generally considered to be what?",BODY TEMPERATURE,,"In the classic Shel Silverstein book “The Giving Tree,” what type of tree gives its fruit to a little boy?",APPLE TREE
A caprese salad traditionally includes which of these ingredients?,MOZZARELLA CHEESE,,"On the FDA Nutrition Facts food label,the abbreviation “DV” stands for “daily” what?",VALUE,,"In the classic story “Peter Pan,” what does Wendy use to reattach Peter’s shadow?",NEEDLE AND THREAD
"A caramel candy brand since 1903,Werther’s Original is named after a town in the Westphalia region of what country?",GERMANY,,"On the front of a U.S. Social Security Card,what images appear on the left and right hand edges?",CLASSICAL COLUMNS,,"In the classic T.V. series “The Waltons,” the Walton family lives in which U.S. state?",VIRGINIA
"A cast member of the AMC series “Hell On Wheels,” rapper/actor Lonnie Lynn, Jr. is better known by what stage name?",COMMON,,"On the Great Seal of the United States,the eagle holds in its beak a scroll bearing what Latin phrase?",E PLURIBUS UNUM,,"In the classic tale “Moby Dick,” Moby Dick is what kind of whale?",SPERM WHALE
A chemical compound known as DHA is a common active ingredient in what beauty product?,SELF-TANNER,,"On the human body, the area of skin known as “The T-zone” is located where?",FACE,,"In the classic tearjerker “Beaches,” two girls begin their lifelong friendship on a beach in what U.S. state?",NEW JERSEY
A child starting kindergarten in September 2010 will ordinarily graduate from high school in what year?,2023,,"On the human body, the intercostal muscles are located where?",RIBS,,"In the classic TV special, Rudolph, the Red-Nosed Reindeer befriends an elf who wants to be a what?",DENTIST
A child starting kindergarten in September of 2010 will ordinarily graduate from high school in what year?,2023,,"On the Internet, the abbreviation “LOL” typically denotes which of these emotional states?",AMUSEMENT,,"In the classic version of Monopoly, the two “utility companies” are Water Works and the what?",ELECTRIC COMPANY
A clarsach–a traditional Irish musical instrument–is a kind of what?,HARP,,"On the New York Stock Exchange,what company uses the apt stock symbol “ZZ”?",SEALY,,"In the classic version of Monopoly,the two “utility companies” are Water Works and the what?",ELECTRIC COMPANY
A classic 1969 work by poet Maya Angelou is titled “I Know Why The Caged Bird” what?,SINGS,,"On the pronunciation of her last name, what actress has explained that it’s “like the lettuce?”",REBECCA ROMIJN,,"In the climactic prom scene of the 1976 film “Carrie,” the title character is doused with the blood of what farm animal?",PIG
A classic 1976 song by Blue Oyster Cult features the advice “Don’t Fear The” what?,REAPER,,"On the Simpsons, what member of the Simpson family is commonly seen sucking on a pacifier?",MAGGIE,,"In the comedy classic “This is Spinal Tap,” the famous quote “These go to eleven” refers to what?",GUITAR AMPLIFIERS
A classic 1984 Super Bowl commercial titled “1984” introduced what product to the public?,MACINTOSH COMPUTER,,"On the TV series “Community,” the main characters become friends after they all take part in a what?",SPANISH STUDY GROUP,,"In the comedy film “Fever Pitch,” Jimmy Fallon plays a crazed fan of what sports team?",BOSTON RED SOX
"A close friend of her Greek actor father,Telly Savalas was the godfather of which of these movie stars?",JENNIFER ANISTON,,"On the TV series “Diff’rent Strokes,” Arnold often poses what signature question to his brother,Willis?",WHAT’ CHU TALKIN’ ‘BOUT?,,"In the comic strip “Peanuts,” what character is typically surrounded by clouds of dirt and dust?",PIGPEN
"A close friend of her Greek actor father,Telly Savalas was the godfather of which of these movie stars?",JENNIFER ANISTON,,"On the TV series “Sesame Street,” what is the full name of the muppet known as The Count?",COUNT VON COUNT,,"In the computer game “The Oregon Trail,” kids learn about U.S. history by pretending to be what?",WESTERN PIONEERS
A collection of Sanskrit hymns and verses known as the Vedas are sacred texts in what religion?,HINDUISM,,"On the TV series “The Fugitive,” Dr.Richard Kimble pursues a man with what physical trait?",ONE ARM,,"In the courtroom expression “pleading the Fifth,” the word “Fifth” refers to a what?",CONSTITUTIONAL AMENDMENT
A college graduate who participates in an ROTC program graduates with a what?,MILITARY COMMISSION,,"On the TV series “The Simpsons,” Marge has the same maiden name as what First Lady?",JACQUELINE KENNEDY,,"In the cover of the song “Proud Mary,” Tina Turner sings, “And we’re rolling, rolling, rolling on the” what?",RIVER
"A common ailment,dyspepsia gets its name from Greek roots meaning “bad” what?",DIGESTION,,"On the TV show “Throwdown,” chefs are challenged to a cook-off of their signature dish by what star chef?",BOBBY FLAY,,"In the critically acclaimed TV drama “The Good Wife,” who plays the good wife?",JULIANNA MARGULIES
"A common ingredient in ice cream and toothpaste, carrageenan is an extract of what?",SEAWEED,,"On the TV sitcom “How I Met Your Mother,” what actor provides the voice of the unseen narrator?",BOB SAGET,,"In the Discover card logo,what natural event is depicted in the “O” in “Discover”?",SUNRISE
"A common Italian expression, “dolce far niente” means “the sweetness of” what?",DOING NOTHING,,"On the ’90s sitcom “Blossom,” Joey Lawrence’s character is known for what concise catchphrase?",WHOA!,,"In the Disney animated classic “Pinocchio,” what kind of animal swallows Pinocchio whole?",WHALE
"A common palindrome begins “A man,a plan,a canal” and ends with what country’s name?",PANAMA,,"On the “Arsenio hall Show,” a special section of the studio audience was called a what?",DOG POUND,,"In the e-mail and memo abbreviation “bcc,” what does the “b” stand for?",BLIND
"A common pose in yoga,the “plank” position closely resembles which of these routine exercises?",PUSH-UPS,,"On TLC’s “19 Kids & Counting,” all 19 children in the Duggar family have first names that begin with what?",J,,"In the early 1900s,FTD began using the classic slogan “Say it with” what?",FLOWERS
"A common problem during childhood, nocturnal enuresis is a medical term better known as what?",BED WETTING,,"On TV’s “Family Guy,” creator Seth MacFarlane voices all but which of these members of the Griffin family?",CHRIS,,"In the early 20th century, Robert Perry and Frederick Cook each claimed to be the first to what?",REACH THE NORTH POLE
"A common site for piercings, the auricle is a cartilaginous region located where on the body?",EAR,,"On TV’s “Glee,” the glee club’s main competition is a 26-member show choir at Carmel High named what?",VOCAL ADRENALINE,,"In the early ’90s, comic strip housewife Blondie Bumstead began a career as a what?",CATERER
A company known for its atlases and maps was born when William Rand went into business with whom?,ANDREW MCNALLY,,"On TV’s “The Muppet Show,” what muppet is often seen chained to his drum set?",ANIMAL,,"In the fairy tale ending of “Pretty Woman,” what does Edward do to “rescue” Vivian?",CLIMB A FIRE ESCAPE
"A contestant on the 2012 season of “Celebrity Apprentice,” Dee Snider won fame as frontman for what ’80s band?",TWISTED SISTER,,"On Twitter,a proper “Twaiku” poem consists of 140 characters or fewer and how many syllables?",17,,"In the famous Latin saying “veni, vidi, vici,” what does “vidi” mean?",I SAW
"A contestant on the Fall 2011 season of “Dancing With The Stars,” Carson Kressley first gained fame on what reality show?",QUEER EYE,,On what classic TV game show do contestants frequently chant “No Whammies”?,PRESS YOUR LUCK,,"In the favorite brunch menu item Eggs Benedict,how are the eggs prepared?",POACHED
"A contestant on “Celebrity Apprentice” in 2011, NeNe Leakes is an outspoken “Real Housewife” from what city?",ATLANTA,,On what TV series do the judges regularly accuse the contestants of being “pitchy?”,AMERICAN IDOL,,"In the federal law known as “RICO,” the “R” stands for what?",RACKETEER
"A couple described as a “Sam and Diane” refers to the on-again,off-again duo of what classic sitcom?",CHEERS,,On which date do all the places in the Earth experience 12 hours of daylight and 12 hours of darkness?,MARCH 21ST,,"In the film business, what tech-inspired term is often used to refer to “starting over” a popular film franchise?",REBOOT
A cowcatcher is a metal grill that is commonly found on the front of what type of vehicle?,TRAIN,,"On “Gilligan’s Island,” Captain Jonas Grumby of the S.S. Minnow was known by what nautical nickname?",THE SKIPPER,,"In the film “Back To The Future,” Marty McFly performs what song at his parents’ high school dance?",JOHNNY B. GOODE
A criminal who has “cooked the books” has engaged in what kind of illegal behavior?,ACCOUNTING FRAUD,,"On “Saturday Night Live,” David Spade popularized the catchphrase “buh-bye” in his role as a what?",FLIGHT ATTENDANT,,"In the film “Forrest Gump,” Forrest tells President Kennedy “I gotta pee” after drinking 15 bottles of what?",DR.PEPPER
A crowd of people are running away from a bull on the cover of the 2008 Fodor’s guide to what country?,SPAIN,,"On “The Lord of the Rings: The Return of the King” soundtrack, Renee Fleming sings in what language?",SINDARIN,,"In the film “Million Dollar Baby,” Maggie wears a robe labeled “Mo Cuishle,” a saying in what language?",GAELIC
A cut of beef is said to be “marbled” if it is what?,FLECKED WITH FAT,,"On “The Lord Of The Rings:The Return of The King” soundtrack,Renee Fleming sings in what language?",SINDARIN,,"In the folk song “She’ll Be Coming ‘Round the Mountain,” what will she “be driving”?",SIX WHITE HORSES
"A dangerous type of what bug gets its name from the port town of Taranto, Italy?",SPIDER,,"Once believed to ward off evil spirits,a Greek wedding tradition involves the ceremonious smashing of what?",PLATES,,"In the full name of the military alliance “NATO,” the “T” stands for what?",TREATY
"A Darwinist is,by definition,a believer of what concept?",EVOLUTION,,"Once dubbed “The Notorious B.A.G.” by the media, Brian Austin Green starred in what ’90s teen drama?","BEVERLY HILLS,90210",,"In the historical term, “V-J Day,” the “J” stands for the name of a what?",COUNTRY
"A device some people fear will accidentally create a black hole,the Large Hadron Collider is a what?",PARTICLE ACCELERATOR,,"Once dubbed “The Notorious B.A.G.” by the media,Brian Austin Green starred in what ’90s teen drama?","BEVERLY HILLS,90210",,"In the holiday classic “The Twelve Days of Christmas,” which of these gifts does the singer receive on the 6th day?",GEESE-A-LAYING
"A dish usually consisting of marinated meat,poultry or fish,satay was originally popularized in what part of the world?",SOUTHEAST ASIA,,"Once featured on a TV infomercial, the Flowbee is a haircutting device that works with what household appliance?",VACUUM CLEANER,,"In the holiday film “A Christmas Story”,the Parkers dine on what dish after their Christmas turkey is ruined?",PEKING DUCK
"A disorder where objects appear shrunken,Lilliputian hallucinations derives its name from what novel?",GULLIVER’S TRAVELS,,"Once ranked #1 for a record 237 weeks,tennis great Roger Federer hails from what country?",SWITZERLAND,,"In the holiday song “The Twelve Days of Christmas,” how many gifts are received on the 12th day?",78
A doe-eyed bad seed named Damien is the main character in what classic horror flick?,THE OMEN,,"One of at least 50 children born to a construction mogul,Osama Bin Laden was,until 1994,a citizen of what country?",SAUDI ARABIA,,"In the horror flick “A Nightmare on Elm Street,” a frightened teen warns “Whatever you do,don’t” do what?",FALL ASLEEP
A duvet cover is usually used to cover what?,COMFORTER,,"One of Hollywood’s funniest movie quotes,”Well,nobody’s perfect!” is the last line of what classic film?",SOME LIKE IT HOT,,"In the human body, the pericardium is a membrane that surrounds what organ?",HEART
"A Eurasian counterpart to the NHL, the KHL is a professional league in what sport?",HOCKEY,,"One of the coaches on the talent show “The Voice,” Adam Levine is best known as the frontman for what rock band?",MAROON 5,,"In the human body, what internal organ regulates the amount of glucose in the blood?",LIVER
"A false urban myth claims that a combination of pop rocks and soda proved fatal for “Mikey,” the boy in what cereal’s ’70s ads?",LIFE,,"One of the great ’90s fashion fads, “Zubaz” were brightly-colored what?",PANTS,,"In the human body,a “bicuspid” can refer to a type of tooth and a type of valve located in what organ?",HEART
"A familiar face in fragrance ads,Argentine Ignacio “Nacho” Figueras is a top-ranking athlete in what sport?",POLO,,"One of the most translated books in the world, Anne Frank’s original diary was published in what language?",DUTCH,,"In the human body,the pancreas is part of both the endocrine system and what other system?",DIGESTIVE
"A familiar sight to people who excel at carnival games, the goldfish is technically a member of what fish family?",CARP,,"One of the sport’s most famous players,Prince William captained what team at the University of St.Andrews?",WATER POLO,,"In the iconic WW II poster, “We can Do it!” Rosie the Riveter is depicted doing what?",FLEXING HER BICEPS
A family doctor who does not have a specialty is sometimes known by what initials?,G.P.,,"One of the world’s steepest streets in a major city,Filbert Street is located where?",SAN FRANCISCO,,"In the Kurt Vonnegut novel “Breakfast of Champions,” what is referred to as the “breakfast of champions”?",MARTINIS
"A family that wants everything “instantly,” the Wrightnows appear in commercials promoting what?",NETFLIX,,"One of “The Real Housewives Of Beverly Hills,” Camille Grammer is the ex-wife of the star of what TV sitcom?",FRASIER,,"In the late 1800s, William “Boss” Tweed led a corrupt political machine centered in what U.S. city?",NEW YORK
"A famous 1855 poem by Walt Whitman begins, “I sing the body” what?",ELECTRIC,,One week comprises approximately what percentage of a year?,2%,,"In the late 1860s, Charles and Max Fleischmann created America’s first commercially produced what?",YEAST
A famous American Revolutionary War flag features a rattlesnake with what motto printed underneath?,DON’T TREAD ON ME,,"ontaining a purposely misspelled word, the title of Quentin Tarantino’s 2009 WWII epic is written how?",INGLORIOUS BASTARDS,,"In the late ’90s,a Chihuahua named Gidget served as the “spokesdog” for what restaurant chain?",TACO BELL
"A famous auto racing venue,the Bonneville Salt Flats occupy over 30,000 acres of what U.S. state?",UTAH,,Opponents of genetically modified food often refer to it by what “scary” name?,FRANKENFOOD,,"In the logo for the office supply company Staples,what letter appears to be formed from a bent staple?",L *CORRECT*
"A famous passage from the Bible,the Twenty-third Psalm begins with the line “The Lord is my” what?",SHEPHERD,,"Opposed by Apple, using unapproved software on your iPhone is popularly referred to as what?",JAILBREAKING,,"In the mid-twentieth century,what U.S. state grew about 80 percent of the world’s pineapples?",HAWAII
A famous series of silent movies features a gang of slapstick comedians called the “Keystone” what?,KOPS,,Oregon’s George Fox University is named in honor of the founder of what religious movement?,QUAKER,,"In the military, a Huey is a type of what?",HELICOPTER
A famous Shakespeare sonnet begins with the question “Shall I compare thee to” what?,SUMMER’S DAY,,"Originally developed by NASA in the ’70s, memory foam is often used to make which of these household items?",MATTRESSES,,"In the military,a U.S. marine with the ranking “E-3” is better known as a “lance” what?",CORPORAL
A fashion accessory known as “The Closer Tote” was popularized by a TV character played by what actress?,KYRA SEDGWICK,,"Originally en vogue in the early 1900s, a “craftsman” is a simplistic style of what?",HOUSE,,"In the military,which of these terms is slang for “kilometer”?",KLICK
"A favorite at weddings, “The Chicken Dance” song is one of the most widely known tunes of what music genre?",POLKA,,"Originally made in Canada, canola is a vegetable oil made from what crop?",RAPESEED,,"In the movie “Arthur,” what does Arthur say to elicit his butler’s famously dry response “I’ll alert the media”?",I’M GOING TO TAKE A BATH
A fetoscope is a medical tool commonly used to examine whom?,PREGNANT WOMEN,,"Originally made in Germany, traditional Rumple Minze schnapps is known for what distinctive flavor?",PEPPERMINT,,"In the movie “Mean Girls,” a naive teen played by Lindsay Lohan tangles with a popular clique of girls nicknamed what?",THE PLASTICS
"A few notes of the French national anthem, “La Marseillaise,” play at the start of what Beatles song?",ALL YOU NEED IS LOVE,,"Originally sung by Peggy Lee and covered by Madonna, the song “Fever” mentions what famously amorous pair",ROMEO AND JULIET,,"In the movie “Snow White and the Seven Dwarfs,” how many of the dwarfs’ names do not end in “Y”?",2
"A five-note melody– D flat,D flat,G,D flat,and A flat–is the famous jingle for what technology company?",INTEL,,"Originally used by American Indians,the term “pow-wow” is now mainly used to refer to a what?",MEETING,,"In the movie “The Lord of the Rings: The Return of the King,” the “king” in the title refers to whom?",ARAGORN
"A fixture in urban settings, Columba livia is the scientific name for what birds?",PIGEONS,,"Originally voiced by John Goodman, which of the five animated M&M’s “spokescandies” is a peanut M&M",YELLOW,,"In the movie “The Sound of Music,” the Von Trapps escape the Nazis by trekking through what mountain range?",ALPS
A Food & Wine magazine article titled “Cook Like a Pit Master” presents tips on preparing what kind of food?,BARBECUE,,"Originally,a “pound cake” recipe called for a pound of butter plus a pound of all but which of the following?",SALT,,"In the name of communications giant AT & T, the second “T” originally stood for what?",TELEGRAPH
"A form of Vitamin A, Retinol is a popular ingredient in which of these drugstore items?",WRINKLE CREAM,,"Originating in Turkey, sultanas are a flavorful variety of what food?",RAISINS,,"In the name of the famous 1980s British band, what word follows “Psydelic”?",FURS
"A fourth of July staple, a firework that periodically emits sparks and balls of fire is called a what?",ROMAN CANDLE,,Orzo is a type of Italian pasta shaped like what?,GRAINS OF RICE,,"In the name of the famous 1980s British band,what word follows “Psychedelic”?",FURS
"A fragrance by Christian Dior, Fahrenheit 32 gets its name from the temperature at which what happens?",WATER FREEZES,,Ossicones are hair-covered horns atop the head of which of these mammals?,GIRAFFE,,"In the NATO phonetic alphabet that begins “Alpha,Bravo,Charlie,” how do you spell “USA”?","UNIFORM,SIERRA,ALPHA"
"A fumarole is an opening in the Earth’s crust,typically found on or near what type of natural formation?",VOLCANO,,"Other than Antarctica, what continent has the smallest population?",AUSTRALIA,,In the nautical expression “Shiver me timbers!” the word “timbers” originally referred to what?,HULL OF A SHIP
A giant compound in Southern California houses Jay Leno’s famous collection of rare and vintage what?,AUTOMOBILES,,"Out on parole since 2007,Sara Jane Moore spent decades in prison for trying to assassinate whom?",GERALD FORD,,"In the news in 2012,a type of political fundraising group that can raise and spend unlimited money is called a what?",SUPER PAC
"A great space-saving idea,a twin bed that slides underneath another twin when not in use is called a what?",TRUNDLE BED,,"Outraging conservationists, who said “A tree is a tree, how many more do you need to look at?”",RONALD REAGAN,,"In the novel “A Tale of Two Cities,” Madame Defarge spends most of her time doing what?",KNITTING
A group of what birds is known as “murder”?,CROWS,,"Over 17000 feet tall, Mount Kenya is the second highest mountain on what continent?",AFRICA,,"In the novel “Twilight,” Edward and Bella attend Forks High School,located in what U.S. state?",WASHINGTON
A haiku is a Japanese poem consisting of how many lines of verse?,THREE,,"Over 30 years ago, which of these Presidents signed legislation to immunize Americans from swine flu?",GERALD FORD,,"In the number 4.231, what digit is in the “hundredths” place?",3 *CORRECT*
A hand gripping the Holy Grail is depicted on pints of what Ben & Jerry’s ice cream flavor?,VERMONTY PYTHON,,"Owned by Donald Trump, the Mar-a-Lago Club is a 126-room estate located in what resort town?",PALM BEACH,,"In the nursery rhyme “The Farmer in the Dell,” what “stands alone”?",THE CHEESE
A hectare is a metric unit used to measure what?,AREA,,"Painted in 1893,the famous Edvard Munch painting “The Scream” depicts an organized figure holding his hands where?",ON HIS CHEEKS,,"In the Old Testament, who said, “I am a stranger in a strange land”?",MOSES
A herpetologist deals with the study and classification of what?,REPTILES AND AMPHIBIANS,,Paleontologists believe that which of these prehistoric animals were likely covered in feathers?,VELOCIRAPTOR,,"In the Olympics,a decathlon has how many more events than a triathlon?",7
"A historic site since 1982,the Barbizon Hotel was once a residence for young single women in what U.S. city?",NEW YORK,,Paris’s largest airport is named after what French leader?,CHARLES DE GAULLE,,"In the opening credits,what cartoon dad drops off his two kids at “Little Dipper School” and “Orbit High School”?",GEORGE JETSON
"A hot dog topped with chili sauce,raw onions and mustard is named after what famous New York City neighborhood?",CONEY ISLAND,,"Partly due to its rounded shape and leathery green skin,what fruit is also known as an “alligator pear”?",AVOCADO,,"In the original edition of “Trivial Pursuit,” what category is represented by the color yellow?",HISTORY
"A key component in their company logo,Pixar’s mascot Luxo Jr. is a what?",DESK LAMP,,"Passed by Congress in 1798, the Sedition Act focused on what problem?",TREASONOUS ACTIVITY,,"In the Oscar-nominated 2009 movie “Fantastic Mr. Fox,” who voices Mr. Fox?",GEORGE CLOONEY
"A key figure in the 2008 presidential election, Ohio native Joe Wurzelbacher is better known as what?",JOE THE PLUMBER,,"Passed by the Senate in 2010,the CALM Act requires TV broadcasters to limit the volume of what?",COMMERCIALS,,"In the Paul Simon song “50 Ways To Leave Your Lover,” which of these is not one of the ways to leave your lover?","FILL UP THE TANK,HANK"
"A key plot point in “The Social Network,” the exclusive frat-like clubs at Harvard University are called what?",FINAL CLUBS,,"Pastis,sambuca and ouzo are three similar liqueurs that all have what distinctive flavor?",ANISE,,"In the Paul Simon song “50 Ways to Leave Your Lover,” which of these names is mentioned first?",JACK
A kilowatt is a unit of power equal to how many watts?,1000,,Patagonian toothfish is served in restaurants under which of these more menu-friendly names?,CHILEAN SEA BASS,,"In the phrases “bar mitzvah” and “bat mitzvah,” “bar” and “bat” are Hebrew words meaning what?",SON AND DAUGHTER
"A laid-back Hawaii native, folk rocker Jack Johnson is famous for performing in what footwear?",FLIP-FLOPS,,Patellofemoral Pain Syndrome is an unpleasant sports injury commonly known as what?,RUNNER’S KNEE,,"In the popular abbreviation FAQ,the letter “A” stands for what?",ASKED
A large bridge spanning the New River Gorge is depicted on the commemorative quarter of what U.S. state?,WEST VIRGINIA,,Patients who elect to have malar augmentation surgery wish to increase the size of their what?,CHEEKS,,"In the popular children’s song “On Top of Spaghetti,” what causes the singer’s meatball to roll off the table?",SOMEBODY SNEEZES
A largemouth angler specializes in catching a variety of what fish?,BASS,,"Patty Hearst,Eddie Van Halen and John McEnroe all voiced “callers” on what TV sitcom?",FRASIER,,"In the popular diet book “Eat Right 4 Your Type,” what is the “type” the author wants you to “eat right for”?",BLOOD TYPE
"A late night talk show that debuted on TBS in 2009, the “Lopez Show” is hosted by whom?",GEORGE LOPEZ,,Payola is a type of illegal payment typically associated with what industry?,RADIO,,"In the popular drink bubble tea,the little pearls or “boba” that gather at the bottom are typically made from what?",TAPIOCA
A leghorn is a type of what animal?,CHICKEN,,"Pectin,a water-soluble carbohydrate,is an important ingredient in which of the following?",JELLY,,"In the popular “Ice Age” movies,the acorn-obsessed character Scrat is what type of fictional beast?",SABER-TOOTHED SQUIRREL
A liger is an animal that results from the crossbreeding of a tiger and a what?,LION,,"Peddled by a charismatic infomercial pitchman,the ShamWow! is primarily used for which of these tasks?",CLEANING UP LIQUIDS,,"In the Pulitzer Prize-winning novel,”The Amazing Adventures of Kavalier & Clay,” who are Kavalier and Clay?",COMIC BOOK ARTISTS
"A likely expert on the Loch Ness monster and the Abominable Snowman,a cryptozoologist studies what?",LEGENDARY CREATURES,,PEG’S LAW is a helpful mneumonic for remembering the names of the seven what?,DEADLY SINS,,"IN the quality inspection process known as “candling,” which of these foods is held in a bright light?",EGGS
